,Factor,HR,Coef,P-value
1,Factor2,0.7538963225850083,-0.2825004236315199,0.002357850936040025
7,Factor8,1.5291505079645273,0.42471235765807364,0.016868409186170105
3,Factor4,1.263505513039817,0.23389001114471855,0.022660157739609027
5,Factor6,0.831411086065966,-0.18463091803796292,0.20835034189563945
2,Factor3,1.0215729583611033,0.021343555496570642,0.8047475089320586
6,Factor7,1.0253101336544892,0.02499513624448989,0.8589348674612385
0,Factor1,1.006422209767614,0.006401675249560919,0.9156705357319687
4,Factor5,1.0062847895865017,0.0062651226550998074,0.957607015025571
